category,mask_file,orig_H,orig_W,raw_defect_%,tfm_defect_%,raw_px_count,tfm_px_count,signal_ratio
can,013_shift_3_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
can,013_underexposed_mask.png,1024,2232,0.0119,0.0456,271,70,3.8419
can,014_overexposed_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
can,014_regular_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
can,014_shift_1_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
can,014_shift_2_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
can,014_shift_3_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
can,014_underexposed_mask.png,1024,2232,0.0021,0.0098,47,15,4.747
fabric,000_overexposed_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,000_regular_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,000_shift_1_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,000_shift_2_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,000_shift_3_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,000_underexposed_mask.png,2048,2448,18.3699,24.4566,920977,37581,1.3313
fabric,001_overexposed_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,001_regular_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,001_shift_1_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,001_shift_2_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,001_shift_3_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,001_underexposed_mask.png,2048,2448,0.0074,0.0234,373,36,3.1489
fabric,002_overexposed_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,002_regular_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,002_shift_1_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,002_shift_2_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,002_shift_3_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,002_underexposed_mask.png,2048,2448,0.0066,0.0286,331,44,4.337
fabric,003_overexposed_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,003_regular_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,003_shift_1_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,003_shift_2_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,003_shift_3_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,003_underexposed_mask.png,2048,2448,0.0124,0.0345,620,53,2.789
fabric,004_overexposed_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,004_regular_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,004_shift_1_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,004_shift_2_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,004_shift_3_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,004_underexposed_mask.png,2048,2448,0.1543,0.0918,7737,141,0.5946
fabric,005_overexposed_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,005_regular_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,005_shift_1_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,005_shift_2_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,005_shift_3_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,005_underexposed_mask.png,2048,2448,0.0062,0.041,309,63,6.652
fabric,006_overexposed_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,006_regular_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,006_shift_1_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,006_shift_2_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,006_shift_3_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,006_underexposed_mask.png,2048,2448,0.0099,0.0325,498,50,3.2757
fabric,007_overexposed_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,007_regular_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,007_shift_1_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,007_shift_2_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,007_shift_3_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,007_underexposed_mask.png,2048,2448,0.0027,0.0182,134,28,6.8175
fabric,008_overexposed_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,008_regular_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,008_shift_1_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,008_shift_2_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,008_shift_3_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,008_underexposed_mask.png,2048,2448,0.0069,0.0221,345,34,3.2154
fabric,009_overexposed_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,009_regular_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,009_shift_1_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,009_shift_2_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,009_shift_3_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,009_underexposed_mask.png,2048,2448,0.0295,0.1393,1479,214,4.7208
fabric,010_overexposed_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,010_regular_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,010_shift_1_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,010_shift_2_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,010_shift_3_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,010_underexposed_mask.png,2048,2448,0.009,0.0241,451,37,2.6767
fabric,011_overexposed_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,011_regular_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,011_shift_1_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,011_shift_2_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,011_shift_3_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,011_underexposed_mask.png,2048,2448,0.0223,0.0514,1116,79,2.3096
fabric,012_overexposed_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,012_regular_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,012_shift_1_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,012_shift_2_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,012_shift_3_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,012_underexposed_mask.png,2048,2448,0.0996,0.1952,4991,300,1.9611
fabric,013_overexposed_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,013_regular_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,013_shift_1_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,013_shift_2_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,013_shift_3_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,013_underexposed_mask.png,2048,2448,0.0225,0.0573,1127,88,2.5476
fabric,014_overexposed_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fabric,014_regular_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fabric,014_shift_1_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fabric,014_shift_2_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fabric,014_shift_3_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fabric,014_underexposed_mask.png,2048,2448,0.0148,0.0403,742,62,2.7262
fruit_jelly,000_overexposed_mask.png,1520,2100,4.1367,4.1064,132043,6310,0.9927
fruit_jelly,000_regular_mask.png,1520,2100,4.1367,4.1064,132043,6310,0.9927
fruit_jelly,000_shift_1_mask.png,1520,2100,4.1367,4.1064,132043,6310,0.9927
fruit_jelly,000_underexposed_mask.png,1520,2100,4.1367,4.1064,132043,6310,0.9927
fruit_jelly,001_overexposed_mask.png,1520,2100,5.7998,6.5825,185129,10115,1.135
fruit_jelly,001_regular_mask.png,1520,2100,5.7998,6.5825,185129,10115,1.135
fruit_jelly,001_shift_1_mask.png,1520,2100,5.7998,6.5825,185129,10115,1.135
fruit_jelly,001_underexposed_mask.png,1520,2100,5.7998,6.5825,185129,10115,1.135
fruit_jelly,002_overexposed_mask.png,1520,2100,0.4043,0.6527,12904,1003,1.6146
fruit_jelly,002_regular_mask.png,1520,2100,0.4043,0.6527,12904,1003,1.6146
fruit_jelly,002_shift_1_mask.png,1520,2100,0.4043,0.6527,12904,1003,1.6146
fruit_jelly,002_underexposed_mask.png,1520,2100,0.4043,0.6527,12904,1003,1.6146
fruit_jelly,003_overexposed_mask.png,1520,2100,0.0594,0.2076,1897,319,3.4931
fruit_jelly,003_regular_mask.png,1520,2100,0.0594,0.2076,1897,319,3.4931
fruit_jelly,003_shift_1_mask.png,1520,2100,0.0594,0.2076,1897,319,3.4931
fruit_jelly,003_underexposed_mask.png,1520,2100,0.0594,0.2076,1897,319,3.4931
fruit_jelly,004_overexposed_mask.png,1520,2100,0.0227,0.0748,724,115,3.2995
fruit_jelly,004_regular_mask.png,1520,2100,0.0227,0.0748,724,115,3.2995
fruit_jelly,004_shift_1_mask.png,1520,2100,0.0227,0.0748,724,115,3.2995
fruit_jelly,004_underexposed_mask.png,1520,2100,0.0227,0.0748,724,115,3.2995
fruit_jelly,005_overexposed_mask.png,1520,2100,0.1607,0.5466,5130,840,3.4014
fruit_jelly,005_regular_mask.png,1520,2100,0.1607,0.5466,5130,840,3.4014
fruit_jelly,005_shift_1_mask.png,1520,2100,0.1607,0.5466,5130,840,3.4014
fruit_jelly,005_underexposed_mask.png,1520,2100,0.1607,0.5466,5130,840,3.4014
fruit_jelly,006_overexposed_mask.png,1520,2100,1.6615,1.979,53034,3041,1.1911
fruit_jelly,006_regular_mask.png,1520,2100,1.6615,1.979,53034,3041,1.1911
fruit_jelly,006_shift_1_mask.png,1520,2100,1.6615,1.979,53034,3041,1.1911
fruit_jelly,006_underexposed_mask.png,1520,2100,1.6615,1.979,53034,3041,1.1911
fruit_jelly,007_overexposed_mask.png,1520,2100,0.0892,0.5629,2846,865,6.3135
fruit_jelly,007_regular_mask.png,1520,2100,0.09,0.5662,2873,870,6.2903
fruit_jelly,007_shift_1_mask.png,1520,2100,0.0892,0.5629,2848,865,6.3091
fruit_jelly,007_underexposed_mask.png,1520,2100,0.0893,0.5629,2849,865,6.3069
fruit_jelly,008_overexposed_mask.png,1520,2100,0.1285,0.2382,4103,366,1.853
fruit_jelly,008_regular_mask.png,1520,2100,0.1285,0.2382,4103,366,1.853
fruit_jelly,008_shift_1_mask.png,1520,2100,0.1285,0.2382,4103,366,1.853
fruit_jelly,008_underexposed_mask.png,1520,2100,0.1285,0.2382,4103,366,1.853
fruit_jelly,009_overexposed_mask.png,1520,2100,0.2992,0.5148,9552,791,1.7202
fruit_jelly,009_regular_mask.png,1520,2100,0.2992,0.5148,9552,791,1.7202
fruit_jelly,009_shift_1_mask.png,1520,2100,0.2992,0.5148,9552,791,1.7202
fruit_jelly,009_underexposed_mask.png,1520,2100,0.2992,0.5148,9552,791,1.7202
fruit_jelly,010_overexposed_mask.png,1520,2100,2.3235,3.287,74165,5051,1.4147
fruit_jelly,010_regular_mask.png,1520,2100,2.3235,3.287,74165,5051,1.4147
fruit_jelly,010_shift_1_mask.png,1520,2100,2.3235,3.287,74165,5051,1.4147
fruit_jelly,010_underexposed_mask.png,1520,2100,2.3235,3.287,74165,5051,1.4147
fruit_jelly,011_overexposed_mask.png,1520,2100,2.6433,3.7855,84373,5817,1.4321
fruit_jelly,011_regular_mask.png,1520,2100,2.6433,3.7855,84373,5817,1.4321
fruit_jelly,011_shift_1_mask.png,1520,2100,2.6433,3.7855,84373,5817,1.4321
fruit_jelly,011_underexposed_mask.png,1520,2100,2.6433,3.7855,84373,5817,1.4321
fruit_jelly,012_overexposed_mask.png,1520,2100,0.2497,0.4289,7971,659,1.7174
fruit_jelly,012_regular_mask.png,1520,2100,0.2497,0.4289,7971,659,1.7174
fruit_jelly,012_shift_1_mask.png,1520,2100,0.2497,0.4289,7971,659,1.7174
fruit_jelly,012_underexposed_mask.png,1520,2100,0.2497,0.4289,7971,659,1.7174
fruit_jelly,013_overexposed_mask.png,1520,2100,1.6662,2.374,53184,3648,1.4248
fruit_jelly,013_regular_mask.png,1520,2100,1.6662,2.374,53184,3648,1.4248
fruit_jelly,013_shift_1_mask.png,1520,2100,1.6662,2.374,53184,3648,1.4248
fruit_jelly,013_underexposed_mask.png,1520,2100,1.6662,2.374,53184,3648,1.4248
fruit_jelly,014_overexposed_mask.png,1520,2100,0.3959,0.5291,12637,813,1.3364
fruit_jelly,014_regular_mask.png,1520,2100,0.3959,0.5291,12637,813,1.3364
fruit_jelly,014_shift_1_mask.png,1520,2100,0.3959,0.5291,12637,813,1.3364
fruit_jelly,014_underexposed_mask.png,1520,2100,0.3959,0.5291,12637,813,1.3364
rice,000_overexposed_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,000_regular_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,000_shift_1_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,000_shift_2_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,000_shift_3_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,000_underexposed_mask.png,2048,2448,0.0699,0.1289,3503,198,1.8441
rice,001_overexposed_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,001_regular_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,001_shift_1_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,001_shift_2_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,001_shift_3_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,001_underexposed_mask.png,2048,2448,0.0633,0.0866,3175,133,1.3667
rice,002_overexposed_mask.png,2048,2448,0.9652,0.5128,48390,788,0.5313
rice,002_regular_mask.png,2048,2448,0.9652,0.5128,48390,788,0.5313
rice,002_shift_1_mask.png,2048,2448,0.9652,0.5128,48390,788,0.5313
rice,002_shift_2_mask.png,2048,2448,0.966,0.5128,48429,788,0.5309
rice,002_shift_3_mask.png,2048,2448,0.966,0.5128,48429,788,0.5309
rice,002_underexposed_mask.png,2048,2448,0.9652,0.5128,48390,788,0.5313
rice,003_overexposed_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,003_regular_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,003_shift_1_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,003_shift_2_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,003_shift_3_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,003_underexposed_mask.png,2048,2448,0.1571,0.0,7878,0,0.0
rice,004_overexposed_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,004_regular_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,004_shift_1_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,004_shift_2_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,004_shift_3_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,004_underexposed_mask.png,2048,2448,0.085,0.1451,4259,223,1.7083
rice,005_overexposed_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,005_regular_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,005_shift_1_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,005_shift_2_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,005_shift_3_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,005_underexposed_mask.png,2048,2448,0.1064,0.1796,5336,276,1.6876
rice,006_overexposed_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,006_regular_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,006_shift_1_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,006_shift_2_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,006_shift_3_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,006_underexposed_mask.png,2048,2448,1.3462,2.0961,67490,3221,1.5571
rice,007_overexposed_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,007_regular_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,007_shift_1_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,007_shift_2_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,007_shift_3_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,007_underexposed_mask.png,2048,2448,0.1352,0.2909,6780,447,2.151
rice,008_overexposed_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,008_regular_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,008_shift_1_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,008_shift_2_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,008_shift_3_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,008_underexposed_mask.png,2048,2448,0.101,0.1692,5065,260,1.6748
rice,009_overexposed_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,009_regular_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,009_shift_1_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,009_shift_2_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,009_shift_3_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,009_underexposed_mask.png,2048,2448,0.0513,0.095,2572,146,1.852
rice,010_overexposed_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,010_regular_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,010_shift_1_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,010_shift_2_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,010_shift_3_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,010_underexposed_mask.png,2048,2448,0.113,0.19,5663,292,1.6823
rice,011_overexposed_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,011_regular_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,011_shift_1_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,011_shift_2_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,011_shift_3_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,011_underexposed_mask.png,2048,2448,0.1169,0.192,5861,295,1.6422
rice,012_overexposed_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,012_regular_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,012_shift_1_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,012_shift_2_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,012_shift_3_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,012_underexposed_mask.png,2048,2448,0.4056,0.7601,20334,1168,1.8741
rice,013_overexposed_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,013_regular_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,013_shift_1_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,013_shift_2_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,013_shift_3_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,013_underexposed_mask.png,2048,2448,0.0469,0.0872,2351,134,1.8596
rice,014_overexposed_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
rice,014_regular_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
rice,014_shift_1_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
rice,014_shift_2_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
rice,014_shift_3_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
rice,014_underexposed_mask.png,2048,2448,0.1691,0.2746,8477,422,1.6242
sheet_metal,000_overexposed_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,000_regular_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,000_shift_1_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,000_shift_2_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,000_shift_3_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,000_underexposed_mask.png,1056,4224,0.2616,0.5668,11670,871,2.1665
sheet_metal,001_overexposed_mask.png,1056,4224,0.4325,1.0256,19294,1576,2.3711
sheet_metal,001_regular_mask.png,1056,4224,0.4325,1.0256,19294,1576,2.3711
sheet_metal,001_shift_1_mask.png,1056,4224,0.4325,1.0256,19294,1576,2.3711
